shift,level,alpha,initial,target,t50,t90,late_bias,late_mae,late_moment,late_normalized_balance
2.0,0.01,0.01,-1.7106646191455976,0.2825631403852178,3160,7726,-0.023360755878264763,0.03136733546360414,0.0013517459983554585,0.0007596378236070795
2.0,0.01,0.02,-1.7170306043051673,0.2825631403852178,1581,3928,0.010831374250832216,0.03751799283500078,-0.00046442073773249836,-0.0002656447204387916
2.0,0.01,0.05,-1.7139708615789493,0.2825631403852178,632,1557,0.007767432842259578,0.06003407409175105,-0.00046841960904618916,-0.00026745250315953303
2.0,0.01,0.1,-1.7138101411296613,0.2825631403852178,314,784,-0.0006273710592497884,0.08823413022446437,-0.000339887839269937,-0.00019314924275784127
2.0,0.99,0.01,1.702789115497529,3.717436859614782,378,2265,0.006564232668257032,0.02750935987116597,-0.0004261186168695982,-0.0002431601750551867
2.0,0.99,0.02,1.707074242813977,3.717436859614782,189,1142,0.008795830392296443,0.03909021376975746,-0.00046303238016155246,-0.0002638930664620216
2.0,0.99,0.05,1.704918675752567,3.717436859614782,76,480,0.00913895521870132,0.06249792363328414,-0.00028109405415499924,-0.00016013628481016808
2.0,0.99,0.1,1.7069455277651235,3.717436859614782,37,210,0.011769808223926601,0.08842674762669146,-0.00010423409442986003,-5.927820551137895e-05
-2.0,0.01,0.01,-1.716460636008237,-3.717436859614782,383,2313,0.0030379881232454916,0.030255279342805138,-0.0005338985545915935,-0.000305912316293318
-2.0,0.01,0.02,-1.727617725153567,-3.717436859614782,189,1169,0.001079035979609749,0.04415690529539912,-0.00046865461830950515,-0.0002682421882085047
-2.0,0.01,0.05,-1.730464390411807,-3.717436859614782,75,456,-0.0008828617962821478,0.07007925929046831,-0.0005065924467304124,-0.0002896118456695574
-2.0,0.01,0.1,-1.7351216963508862,-3.717436859614782,38,212,-0.007628667667180581,0.09900976698632208,-0.00041756081665287134,-0.00023780260656661376
-2.0,0.99,0.01,1.713358029468401,-0.282563140385218,3164,7708,0.03619511707638053,0.040601205209146916,-0.0012925762906744963,-0.00072130693564573
-2.0,0.99,0.02,1.725111638272796,-0.282563140385218,1585,3930,0.006127796122259528,0.04084157739661657,0.0002971901272309014,0.00016842208860367702
-2.0,0.99,0.05,1.7345490507066987,-0.282563140385218,636,1520,0.00953040526457964,0.0668952627425774,0.0003175348183555224,0.00017959412276209884
-2.0,0.99,0.1,1.7452666036556008,-0.282563140385218,319,814,0.015635092375280404,0.09352869427063557,0.0003101730436825234,0.00017481595854677235
