family,level,alpha,target,bias,mae,rmse,moment,normalized_balance
"Normal(0,1)",0.01,0.01,-1.7174368596147822,0.005835429638425593,0.03264019318764204,0.043731683625535846,-0.00032491338701884386,-0.00018629967918414112
"Normal(0,1)",0.01,0.02,-1.7174368596147822,-0.0018408303844731273,0.041070758259915484,0.05238704693216091,2.369602265611477e-05,1.3531632744488904e-05
"Normal(0,1)",0.01,0.05,-1.7174368596147822,-0.0047955106918297985,0.06384363965930875,0.08145571084042452,2.011636955859726e-05,1.1467677154948066e-05
"Normal(0,1)",0.01,0.1,-1.7174368596147822,-0.009826532267285673,0.09131107435988528,0.11563962417478935,2.3413383313333668e-05,1.3308299326818601e-05
"Normal(0,1)",0.99,0.01,1.717436859614782,-0.010416558659765778,0.030863754682379858,0.03745850695644362,0.0002442726693753307,0.00013994304354373265
"Normal(0,1)",0.99,0.02,1.717436859614782,-0.0029206402582374674,0.040310523888904846,0.049222877866422626,-9.101875060402132e-05,-5.193712594389286e-05
"Normal(0,1)",0.99,0.05,1.717436859614782,0.0005015947928458849,0.06425941830701329,0.07995229083665921,-8.069578911603487e-05,-4.5954513273100496e-05
"Normal(0,1)",0.99,0.1,1.717436859614782,0.006403567687205726,0.09116355490123584,0.11453419672496425,-7.594129703957005e-05,-4.3098880712717436e-05
"Student-t(df=5), unit variance",0.01,0.01,-1.9387122083000008,0.015944444212921956,0.07387358496099745,0.11593412348643525,-0.0008511806027137441,-0.00043356806278629033
"Student-t(df=5), unit variance",0.01,0.02,-1.9387122083000008,-0.012088866602857122,0.08323356513274734,0.10326139103421776,0.000178476349014816,8.969996899399176e-05
"Student-t(df=5), unit variance",0.01,0.05,-1.9387122083000008,-0.019495612649084375,0.13112653348327905,0.16801147389568713,0.00013707601251175197,6.862907807374079e-05
"Student-t(df=5), unit variance",0.01,0.1,-1.9387122083000008,-0.03209120078892233,0.18354559044889457,0.23863008762300647,5.675182427867254e-05,2.82296467482905e-05
"Student-t(df=5), unit variance",0.99,0.01,1.9387122083000004,-0.03463118090854679,0.07003239790009776,0.08569029346449279,0.0006909855025628056,0.0003552815525856422
"Student-t(df=5), unit variance",0.99,0.02,1.9387122083000004,-0.006594449565823281,0.08167408800649881,0.10322397357333965,-0.0002770883209027435,-0.000140544903162189
"Student-t(df=5), unit variance",0.99,0.05,1.9387122083000004,-0.0026623677631413,0.12379199861833595,0.15925239902309843,-0.00013893379043493852,-7.031691945672902e-05
"Student-t(df=5), unit variance",0.99,0.1,1.9387122083000004,0.00795726764148175,0.17356733985260467,0.2271009266910528,-5.1751615714875806e-05,-2.6047233323618276e-05
"Student-t(df=3), unit variance",0.01,0.01,-2.093221227237693,0.10941543919280983,0.12847678258583245,0.15641434306397917,-0.0035406327718353224,-0.0017436469053818946
"Student-t(df=3), unit variance",0.01,0.02,-2.093221227237693,0.012560615749312554,0.12462151008837748,0.15913951973439833,-0.000810088276493777,-0.00038142454303462725
"Student-t(df=3), unit variance",0.01,0.05,-2.093221227237693,-0.02454773577353426,0.20195700881031378,0.26628152235341646,-0.0002030017177733228,-9.396156668424652e-05
"Student-t(df=3), unit variance",0.01,0.1,-2.093221227237693,-0.05293663383128229,0.29042910061124005,0.39566653610232294,-9.423801735286256e-05,-4.3046342905024085e-05
"Student-t(df=3), unit variance",0.99,0.01,2.0932212272376924,-0.07423461476691809,0.14861784001840478,0.18661310652703889,0.0034836107444394114,0.0016843466061993257
"Student-t(df=3), unit variance",0.99,0.02,2.0932212272376924,0.019696422486040664,0.16375453723806824,0.22071628278888752,0.0009494573522979826,0.0004397869381459041
"Student-t(df=3), unit variance",0.99,0.05,2.0932212272376924,0.05563682649233032,0.24935888268910192,0.3444357304190508,0.0005132188621763094,0.00023384607895063185
"Student-t(df=3), unit variance",0.99,0.1,2.0932212272376924,0.09343144140380287,0.34150205505652265,0.5094690836815792,0.0003691044118173598,0.0001652983789099388
"Contaminated Gaussian, unit variance",0.01,0.01,-1.9691836032465895,0.165116782929457,0.20711600988251277,0.2523029677841931,-0.00371548567225807,-0.0020129914632325352
"Contaminated Gaussian, unit variance",0.01,0.02,-1.9691836032465895,-0.010819362009404046,0.23327071749655218,0.28928848206050956,-0.0007443919435073465,-0.00036865384608869773
"Contaminated Gaussian, unit variance",0.01,0.05,-1.9691836032465895,-0.09080379252028542,0.3733961687809501,0.4753716774315446,-5.6996159386749554e-05,-2.7148391218452644e-05
"Contaminated Gaussian, unit variance",0.01,0.1,-1.9691836032465895,-0.14155109821641182,0.5252267277151093,0.679708045210066,-0.00021717363620897673,-0.00010093867853600236
"Contaminated Gaussian, unit variance",0.99,0.01,1.9691836032465884,-0.190732115005852,0.23000315950810593,0.27150499379292387,0.0032643019830254174,0.0017895194789802264
"Contaminated Gaussian, unit variance",0.99,0.02,1.9691836032465884,-0.027130834121096185,0.23532558892024535,0.2878754648720575,0.00045055060657043784,0.00022694107271043393
"Contaminated Gaussian, unit variance",0.99,0.05,1.9691836032465884,0.04668509493200884,0.34622822326881336,0.43719667613808966,-0.00022993002860407645,-0.00011165698371102875
"Contaminated Gaussian, unit variance",0.99,0.1,1.9691836032465884,0.09507557093137259,0.4859743970871457,0.6183516998117268,-9.312418645265369e-05,-4.415748251419155e-05
