shift,level,alpha,initial,target,t50,t90,late_bias,late_mae,late_moment,late_normalized_balance
2.0,0.05,0.01,-1.1414109091564772,0.859828854164258,741,1938,-0.007463836700290058,0.03589262506507977,0.001547460232465193,0.001212978998897236
2.0,0.05,0.02,-1.1442683740802553,0.859828854164258,373,982,0.003002232442973274,0.05096660794314776,-0.0002974792614604317,-0.00023456388523345105
2.0,0.05,0.05,-1.1527344166349418,0.859828854164258,149,407,0.0006698283498825805,0.07796235830858353,-0.00041100890106657024,-0.0003233574806756152
2.0,0.05,0.1,-1.1599357372733767,0.859828854164258,74,199,-0.0044711671155615975,0.10921713164099815,-0.00042357144756353737,-0.00033174279911356395
2.0,0.5,0.01,-0.00330597495293295,2.0,69,231,0.0060920081973698794,0.058281647530172905,-0.0012276912779736078,-0.0015385721383862645
2.0,0.5,0.02,-0.005701324925268125,2.0,35,115,0.005974276199724469,0.08179412714924483,-0.0011688252791509214,-0.0014612486856054297
2.0,0.5,0.05,-0.015446336982689296,2.0,14,47,0.005189452432906697,0.12963374088529075,-0.0007764133957420455,-0.0009632829675266658
2.0,0.5,0.1,-0.03308591717140465,2.0,7,22,0.0045763166801999,0.18483814569424598,-0.0004698455193886237,-0.000575490485810488
2.0,0.95,0.01,1.1420527544337804,3.1401711458357418,184,869,0.0017799496391245442,0.035217936645256256,-0.00046240273991146895,-0.0003658926038833229
2.0,0.95,0.02,1.1411454776135754,3.1401711458357418,90,450,0.004423986245899075,0.05082713764998941,-0.0007474714738328086,-0.0005903868697543702
2.0,0.95,0.05,1.1410275459904773,3.1401711458357418,38,180,0.0066156304132369125,0.0784256556700919,-0.0006430743584079453,-0.000506861519067775
2.0,0.95,0.1,1.1427707569370613,3.1401711458357418,19,80,0.010656701871808488,0.1079524940100652,-0.0004793270297117907,-0.00037635846230648105
-2.0,0.05,0.01,-1.1357714155878114,-3.140171145835742,179,881,-0.0014843603998061468,0.032001889306793666,7.027867926960595e-07,5.524144431400457e-07
-2.0,0.05,0.02,-1.1332310076972707,-3.140171145835742,90,430,-0.003346267628607476,0.04413203633707744,0.00013340142626243204,0.00010471207637554454
-2.0,0.05,0.05,-1.1308806762350443,-3.140171145835742,37,167,-0.006803223043463959,0.07141600258587899,0.00023708400787048273,0.00018557071683610502
-2.0,0.05,0.1,-1.1395461369077493,-3.140171145835742,18,78,-0.011938036225068713,0.10432537506386833,0.0002489508603266416,0.00019399682880444463
-2.0,0.5,0.01,0.012326787868314783,-2.0,68,222,0.00415578647613398,0.05497113121424786,-0.0004107580159444338,-0.0005140885679592311
-2.0,0.5,0.02,0.009695339816907322,-2.0,35,108,0.0035857461422644306,0.07922059606724112,-0.00012573784900968434,-0.00015697967259047148
-2.0,0.5,0.05,0.0032166242058039676,-2.0,14,46,0.0034836023028751227,0.12812865473490884,-7.466592931503275e-05,-9.25567046624703e-05
-2.0,0.5,0.1,0.004496408146441033,-2.0,7,22,0.0036050242233176596,0.1847943498541779,-0.00013537688953625134,-0.00016574691910079437
-2.0,0.95,0.01,1.1461684038771627,-0.8598288541642582,739,1964,0.017625442575212272,0.03317857940487274,-0.0020493747489629265,-0.0016033516051988089
-2.0,0.95,0.02,1.1508222485172692,-0.8598288541642582,369,978,0.009275364316802912,0.04332369651252676,-0.0005148174993385474,-0.0004046308515202616
-2.0,0.95,0.05,1.1555845939313611,-0.8598288541642582,147,389,0.010683267400576566,0.07003790298832624,-0.00020307881259879016,-0.00015933109848043745
-2.0,0.95,0.1,1.154225530021746,-0.8598288541642582,74,196,0.015368780837247825,0.10153013619307244,-4.20798261293414e-05,-3.287139735604525e-05
