shift,probability,alpha,initial,target,t50,t90
2.0,0.01,0.01,-2.3303063832960618,-0.32634787404084076,,
2.0,0.01,0.02,-2.330859203236105,-0.32634787404084076,1353,
2.0,0.01,0.05,-2.3312639177640095,-0.32634787404084076,538,1299
2.0,0.01,0.1,-2.352858524993172,-0.32634787404084076,272,650
2.0,0.05,0.01,-1.6512383957564265,0.35514637304852714,689,
2.0,0.05,0.02,-1.6551966346045692,0.35514637304852714,347,903
2.0,0.05,0.05,-1.6563731123478518,0.35514637304852714,141,371
2.0,0.05,0.1,-1.6509865180093073,0.35514637304852714,70,187
2.0,0.5,0.01,0.0006937928706901849,2.0,188,604
2.0,0.5,0.02,0.002233283256233719,2.0,94,300
2.0,0.5,0.05,0.006925044756390815,2.0,38,126
2.0,0.5,0.1,0.014207101706140259,2.0,19,63
2.0,0.95,0.01,1.650455004526006,3.644853626951472,241,1114
2.0,0.95,0.02,1.6569633012608307,3.644853626951472,121,551
2.0,0.95,0.05,1.6712001821726654,3.644853626951472,48,218
2.0,0.95,0.1,1.675067536554753,3.644853626951472,26,126
2.0,0.99,0.01,2.3299094799818065,4.326347874040841,412,
2.0,0.99,0.02,2.3355643605545384,4.326347874040841,214,1125
2.0,0.99,0.05,2.3635826567070146,4.326347874040841,87,447
2.0,0.99,0.1,2.398124187140634,4.326347874040841,43,228
-2.0,0.01,0.01,-2.314129257032678,-4.326347874040841,417,
-2.0,0.01,0.02,-2.319557103322917,-4.326347874040841,209,1162
-2.0,0.01,0.05,-2.328581545550074,-4.326347874040841,83,432
-2.0,0.01,0.1,-2.361364565875435,-4.326347874040841,40,219
-2.0,0.05,0.01,-1.6482875899493388,-3.644853626951473,238,1120
-2.0,0.05,0.02,-1.65280279825654,-3.644853626951473,120,568
-2.0,0.05,0.05,-1.6704323666125283,-3.644853626951473,48,225
-2.0,0.05,0.1,-1.6845745184018963,-3.644853626951473,24,120
-2.0,0.5,0.01,-0.006188733888917665,-2.0,185,585
-2.0,0.5,0.02,-0.007381039293542544,-2.0,92,308
-2.0,0.5,0.05,-0.01667685248316364,-2.0,37,118
-2.0,0.5,0.1,-0.016222750445946666,-2.0,19,55
-2.0,0.95,0.01,1.6385368724750349,-0.35514637304852803,689,
-2.0,0.95,0.02,1.637447230591645,-0.35514637304852803,346,877
-2.0,0.95,0.05,1.6458278264682262,-0.35514637304852803,138,367
-2.0,0.95,0.1,1.6614585219466853,-0.35514637304852803,69,177
-2.0,0.99,0.01,2.335969240918026,0.32634787404084076,,
-2.0,0.99,0.02,2.3384966413392805,0.32634787404084076,1346,
-2.0,0.99,0.05,2.3374815213086735,0.32634787404084076,543,1230
-2.0,0.99,0.1,2.321759964958659,0.32634787404084076,272,634
