probability,alpha,bias,mae,coverage,coverage_error,mean_scale,theoretical_scale,scale_error
0.01,0.005,0.050019621768059304,0.059452893342574614,0.0118375,0.0018375000000000006,2.279212586383674,2.33312520096694,-0.053912614583266016
0.01,0.01,0.00586287211525982,0.05476849388739961,0.0105375,0.0005374999999999998,2.3250210062644685,2.33312520096694,-0.008104194702471368
0.01,0.02,-0.005793767315361589,0.07355855568039434,0.0104,0.0003999999999999993,2.3367081255925224,2.33312520096694,0.0035829246255825176
0.01,0.05,-0.02269020503360212,0.12643371001779352,0.0103875,0.00038749999999999896,2.353652869663804,2.33312520096694,0.020527668696864065
0.01,0.1,-0.03822455059992043,0.17867099449370752,0.010575,0.0005749999999999991,2.3693967772360454,2.33312520096694,0.03627157626910549
0.05,0.005,0.010099312548252045,0.03802973941483925,0.0509625,0.0009624999999999981,1.675468460719747,1.6866395450070681,-0.011171084287321165
0.05,0.01,0.007248652496797202,0.0516668481226261,0.0508,0.0007999999999999952,1.6782618010308976,1.6866395450070681,-0.008377743976170526
0.05,0.02,0.0018372251529536797,0.07230758189161555,0.0507125,0.0007124999999999979,1.6835140417193284,1.6866395450070681,-0.0031255032877397504
0.05,0.05,-0.008773145483576746,0.11198212933672665,0.0508,0.0007999999999999952,1.6944502191408166,1.6866395450070681,0.007810674133748474
0.05,0.1,-0.021680408377079612,0.16449235201644088,0.051325,0.0013249999999999998,1.7083207753737468,1.6866395450070681,0.021681230366678683
0.5,0.005,-0.0006930654190466958,0.02878845882707945,0.5007375,0.0007374999999999465,0.7974129374110086,0.7978845608028654,-0.00047162339185680136
0.5,0.01,-0.001873277362102861,0.040846953606583004,0.5006875,0.000687499999999952,0.798021668781403,0.7978845608028654,0.00013710797853760948
0.5,0.02,0.00011537923381585734,0.05818679930730786,0.5004375,0.00043749999999997957,0.7991206904452581,0.7978845608028654,0.0012361296423927248
0.5,0.05,0.0007307783297441252,0.09015753656578333,0.500175,0.00017500000000003624,0.802369328085208,0.7978845608028654,0.004484767282342594
0.5,0.1,-0.0019324887749623894,0.1276877385578107,0.4998625,-0.0001375000000000126,0.808128019756501,0.7978845608028654,0.010243458953635542
0.95,0.005,-0.0047593922692385545,0.03251785289164239,0.9510375,0.0010375000000000245,1.6847625312597532,1.6866395450070677,-0.0018770137473145265
0.95,0.01,-0.009166416661007797,0.04659963983136598,0.950475,0.0004750000000000032,1.6805334295982088,1.6866395450070677,-0.006106115408858859
0.95,0.02,-0.007415568194449493,0.06735575443434902,0.9501125,0.00011250000000007088,1.6823099593315336,1.6866395450070677,-0.004329585675534098
0.95,0.05,-0.0008326922485038592,0.11092574747606132,0.9495125,-0.00048749999999997407,1.68930844323591,1.6866395450070677,0.002668898228842309
0.95,0.1,0.009873148685964589,0.1602276914276963,0.94895,-0.0010499999999999954,1.7010974144382056,1.6866395450070677,0.014457869431137915
0.99,0.005,-0.03266522009711587,0.04378652349648005,0.989325,-0.0006749999999999812,2.301214365015112,2.33312520096694,-0.03191083595182809
0.99,0.01,-0.004204407118269684,0.04926821168875802,0.9901375,0.0001375000000000126,2.3315310221160943,2.33312520096694,-0.0015941788508455623
0.99,0.02,-0.0025214452863631513,0.06844259600922886,0.9899,-9.999999999998899e-05,2.3330936254091976,2.33312520096694,-3.1575557742247184e-05
0.99,0.05,0.003798161261594083,0.1128442173684,0.9897875,-0.00021249999999994884,2.3399493003915954,2.33312520096694,0.006824099424655561
0.99,0.1,0.02793052193217845,0.17151086325314027,0.98955,-0.00044999999999995044,2.3641242270115956,2.33312520096694,0.030999026044655764
