probability,alpha,initial_mean,target_quantile,steps_to_50_percent,steps_to_90_percent,late_bias,late_mae,late_coverage,late_coverage_error
0.05,0.005,-1.3899927040146836,0.35514637304852714,,,-1.1393715775465862,1.1393715775465862,0.0028333333333333335,-0.04716666666666667
0.05,0.01,-1.6009600329860763,0.35514637304852714,683,,-0.7329899604421725,0.7329899604421725,0.008291666666666666,-0.04170833333333333
0.05,0.02,-1.6447685258280207,0.35514637304852714,342,870,-0.18358096707805543,0.1845789687851841,0.03425,-0.01575
0.05,0.05,-1.6474194371147395,0.35514637304852714,137,348,-0.023981443132558785,0.11740338770340028,0.050416666666666665,0.0004166666666666624
0.05,0.1,-1.6429722402564646,0.35514637304852714,68,173,-0.025086162308039357,0.1643095562760065,0.050791666666666666,0.0007916666666666627
0.5,0.005,-0.006286958248337713,2.0,373,,-0.3341983925853937,0.3341983925853937,0.36395833333333333,-0.13604166666666667
0.5,0.01,0.002489237610466067,2.0,185,587,-0.06999195534752581,0.0758590135895969,0.4684583333333333,-0.03154166666666669
0.5,0.02,0.0027870652849692605,2.0,93,294,0.0036390428328074223,0.0578841725773828,0.4980833333333333,-0.0019166666666666776
0.5,0.05,0.004824470018808119,2.0,37,121,0.007941355676067562,0.09042920348718511,0.49945833333333334,-0.0005416666666666625
0.5,0.1,0.0019062065755624219,2.0,19,60,0.010486319297251924,0.12964722657361136,0.4997916666666667,-0.0002083333333333104
0.95,0.005,1.3533591954776238,3.644853626951472,497,,-0.7840854172086487,0.7840854172086487,0.8024583333333334,-0.14754166666666657
0.95,0.01,1.6004161452445929,3.644853626951472,239,,-0.2991691610779479,0.2991691610779479,0.9079166666666667,-0.04208333333333325
0.95,0.02,1.655787841642269,3.644853626951472,118,542,-0.054964569921632955,0.08154863562297894,0.941125,-0.008874999999999966
0.95,0.05,1.6728966612456806,3.644853626951472,45,210,0.015401298882305936,0.1034578430859893,0.9482083333333333,-0.0017916666666666359
0.95,0.1,1.6763018136421612,3.644853626951472,23,103,0.028966376330050926,0.15663719071658705,0.9479166666666666,-0.002083333333333326
