family,probability,alpha,true_quantile,bias,mae,rmse,coverage,coverage_error,mean_scale
"Normal(0,1)",0.05,0.005,-1.6448536269514729,0.13723875353601686,0.15994601682899506,0.19056402053104776,0.06625555555555555,0.01625555555555555,1.5433094686826452
"Normal(0,1)",0.05,0.01,-1.6448536269514729,0.01386443106649798,0.05573965890354075,0.06946434996317936,0.05107777777777778,0.0010777777777777747,1.672224166928249
"Normal(0,1)",0.05,0.02,-1.6448536269514729,0.0014654039040313954,0.07323868727353777,0.09256643897494506,0.049911111111111114,-8.888888888888835e-05,1.6860278826781734
"Normal(0,1)",0.05,0.05,-1.6448536269514729,-2.8208233355527337e-05,0.1101937817391186,0.13904824703969196,0.05046666666666667,0.00046666666666666384,1.6880815627921113
"Normal(0,1)",0.05,0.1,-1.6448536269514729,-0.01581877948145746,0.16275620477540573,0.20500324069709328,0.05123333333333333,0.0012333333333333293,1.7041388999698124
"Normal(0,1)",0.5,0.005,0.0,-0.0001704519616955625,0.033675809805983045,0.04303888132097586,0.5000222222222223,2.2222222222256782e-05,0.799004534021261
"Normal(0,1)",0.5,0.01,0.0,-0.0014434689986007256,0.04045150975188484,0.05114978575129061,0.5001111111111111,0.00011111111111106187,0.79891636701759
"Normal(0,1)",0.5,0.02,0.0,0.0002609682840536269,0.05665896803730394,0.07162286821666385,0.5001555555555556,0.00015555555555557543,0.79991938072819
"Normal(0,1)",0.5,0.05,0.0,0.00023955765145935418,0.09021901454983905,0.11304454618445177,0.5002,0.00019999999999997797,0.8030619705062364
"Normal(0,1)",0.5,0.1,0.0,-0.0018555854855082164,0.1279025177121602,0.16048286413993842,0.5002,0.00019999999999997797,0.8086791232899738
"Normal(0,1)",0.95,0.005,1.644853626951472,-0.1364273195643841,0.1530960407287742,0.18342037161836613,0.9326333333333333,-0.01736666666666664,1.5425407788780605
"Normal(0,1)",0.95,0.01,1.644853626951472,-0.007738461961153644,0.05852809486893505,0.07281045968281484,0.9482444444444444,-0.0017555555555555102,1.6771671989464583
"Normal(0,1)",0.95,0.02,1.644853626951472,0.011081703875734669,0.07403595396775448,0.09361169446015535,0.9498666666666666,-0.00013333333333331865,1.6974564237783605
"Normal(0,1)",0.95,0.05,1.644853626951472,0.01470161692672186,0.1158623848659984,0.1454699847257454,0.9495444444444444,-0.0004555555555555424,1.7022037775368424
"Normal(0,1)",0.95,0.1,1.644853626951472,0.025613537364483515,0.16533333993874483,0.20690919373123284,0.9488777777777778,-0.0011222222222221356,1.7142586512700537
"Student-t(df=5), unit variance",0.05,0.005,-1.5608497583442293,0.18165061815110467,0.22967429144379878,0.2847610547232583,0.07133333333333333,0.02133333333333333,1.444953714747011
"Student-t(df=5), unit variance",0.05,0.01,-1.5608497583442293,0.021554278229612006,0.06479289010649805,0.08797754951634226,0.05333333333333334,0.003333333333333334,1.6052113991605166
"Student-t(df=5), unit variance",0.05,0.02,-1.5608497583442293,-0.00675562127626421,0.07622827782578935,0.09570647554868998,0.050777777777777776,0.0007777777777777731,1.6350904424396138
"Student-t(df=5), unit variance",0.05,0.05,-1.5608497583442293,-0.01185167501862483,0.12588437357775542,0.15602956123082123,0.05106666666666667,0.0010666666666666672,1.6414148638698276
"Student-t(df=5), unit variance",0.05,0.1,-1.5608497583442293,-0.023992381090058978,0.17534170528813972,0.22210193272279877,0.051722222222222225,0.0017222222222222222,1.6543602640478328
"Student-t(df=5), unit variance",0.5,0.005,0.0,-0.001748496308009444,0.028017616567974593,0.03485248343361187,0.5000111111111111,1.111111111107288e-05,0.7378803309812215
"Student-t(df=5), unit variance",0.5,0.01,0.0,-0.0013100662613965486,0.036151479424855186,0.04533059515978974,0.5003444444444445,0.0003444444444444805,0.7385640055243651
"Student-t(df=5), unit variance",0.5,0.02,0.0,-0.0020813658984184472,0.05069759313129181,0.06320993713102618,0.5005111111111111,0.0005111111111111288,0.7398484245072431
"Student-t(df=5), unit variance",0.5,0.05,0.0,-0.0007555808885331776,0.08026375024035813,0.10016621545754584,0.5004666666666666,0.00046666666666661527,0.7431279207571164
"Student-t(df=5), unit variance",0.5,0.1,0.0,-0.0011686386311203002,0.11396713164558443,0.1434392358200878,0.5005333333333334,0.0005333333333333856,0.7483923031626335
"Student-t(df=5), unit variance",0.95,0.005,1.5608497583442287,-0.1981046066815353,0.2091311275286464,0.23549688446749611,0.9274888888888889,-0.022511111111111037,1.429425408567579
"Student-t(df=5), unit variance",0.95,0.01,1.5608497583442287,-0.02747083125886291,0.060013472648099815,0.07552991382549083,0.947,-0.0030000000000000027,1.602360367031307
"Student-t(df=5), unit variance",0.95,0.02,1.5608497583442287,0.007144773684645166,0.07682609663259933,0.09575791956523703,0.9497666666666666,-0.00023333333333330764,1.63856268209629
"Student-t(df=5), unit variance",0.95,0.05,1.5608497583442287,0.014129053112686628,0.12368092015729583,0.1543291217973444,0.9492,-0.0007999999999999119,1.64578015352686
"Student-t(df=5), unit variance",0.95,0.1,1.5608497583442287,0.030926398435408318,0.179273298063928,0.22461488563440316,0.9482555555555555,-0.0017444444444444374,1.662855615782529
"Student-t(df=3), unit variance",0.05,0.005,-1.3587150125838556,0.21618104089184204,0.21629097562388,0.23790649746880702,0.07271111111111112,0.022711111111111112,1.2295227279522953
"Student-t(df=3), unit variance",0.05,0.01,-1.3587150125838556,0.03740151673125286,0.0666666337744548,0.08324622553960857,0.05397777777777778,0.0039777777777777745,1.4048355038420983
"Student-t(df=3), unit variance",0.05,0.02,-1.3587150125838556,-0.00509503145175483,0.07892289159677121,0.09829649369285111,0.0504,0.0003999999999999976,1.4479961902484058
"Student-t(df=3), unit variance",0.05,0.05,-1.3587150125838556,-0.010824711779595524,0.12304943636542288,0.1532290943351093,0.05071111111111111,0.0007111111111111068,1.454621048950653
"Student-t(df=3), unit variance",0.05,0.1,-1.3587150125838556,-0.027978402984469637,0.17432466704034033,0.2213182182710737,0.0516,0.0015999999999999973,1.471794929636537
"Student-t(df=3), unit variance",0.5,0.005,0.0,0.00034817921557262323,0.020046057060516403,0.0250445892018054,0.49945555555555554,-0.0005444444444444585,0.6345879267919281
"Student-t(df=3), unit variance",0.5,0.01,0.0,0.0007269600475548881,0.027679011262032493,0.03474998932485538,0.4998444444444444,-0.00015555555555557543,0.6345136643205329
"Student-t(df=3), unit variance",0.5,0.02,0.0,0.0019054859938909057,0.03939095075722831,0.049576286149373275,0.4999111111111111,-8.88888888889161e-05,0.6350099971988153
"Student-t(df=3), unit variance",0.5,0.05,0.0,0.002509012903799564,0.0627306916091243,0.07891829257200368,0.5001888888888889,0.0001888888888889051,0.6372177514575871
"Student-t(df=3), unit variance",0.5,0.1,0.0,0.0025691829844037557,0.0912967373245795,0.11441366492167879,0.5002333333333333,0.00023333333333330764,0.6414563388156855
"Student-t(df=3), unit variance",0.95,0.005,1.358715012583855,-0.21150143781207853,0.2405347662148256,0.2645707753691806,0.9288444444444445,-0.021155555555555483,1.2384827906535503
"Student-t(df=3), unit variance",0.95,0.01,1.358715012583855,-0.05091168374312687,0.07105116675987971,0.08754274135102486,0.9469222222222222,-0.003077777777777735,1.3965157816247598
"Student-t(df=3), unit variance",0.95,0.02,1.358715012583855,-0.009612184878311511,0.07187375712608146,0.09080413035377392,0.9500111111111111,1.1111111111183902e-05,1.4382356941284005
"Student-t(df=3), unit variance",0.95,0.05,1.358715012583855,-0.0053234963223826775,0.1157771239961154,0.146193678512843,0.9494666666666667,-0.0005333333333332746,1.4428215914128708
